CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,NDC VIJAYAWADA,521225,PO,Non Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Mallela B.O,509132,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0175260,80.5582350
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Kokilampadu B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.1076720,80.6456960
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Sriniketan B.O,521235,BO,Delivery,KRISHNA,ANDHRA PRADESH,17.0583410,80.5371520
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Kodurupadu B.O,521110,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6105770,80.9001390
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Remalle B.O,521110,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.6617080,80.9148390
Andhra Pradesh Circle,Vijayawada Region,Vijayawada Division,Keesara BO,521185,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.7206520,80.3248270
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Bokinala B.O,521260,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.463419,80.845044
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Siddantham B.O,521330,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.4000000,81.0300000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Cherukumilli B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3800000,81.3100000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Chorampudi B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.4100000,81.2900000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Komatigunta Lock B.O,521260,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.556437,81.428585
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Tarigoppula R.S. B.O,521260,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.488073,80.833627
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Krishna University S.O,521004,PO,Delivery,KRISHNA,ANDHRA PRADESH,16.136902,81.099842
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Kappaladoddi B.O,521366,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,L.K.Gunta B.O,521366,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Lellagaruvu B.O,521366,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Nadupuru B.O,521366,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Konkepudi B.O,521366,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Tenneru B.O,521260,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.484304,80.814248
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Jayapuram B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3800000,81.2500000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Komallapudi B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.4000000,81.3700000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Neelipudi B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.4000000,81.3500000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Kruthivennu SO,521320,PO,Delivery,KRISHNA,ANDHRA PRADESH,16.3787,81.360617
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Chandrala B.O,521330,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3776750,81.0552010
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Serikalavapudi B.O,521330,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3700000,81.0200000
Andhra Pradesh Circle,Vijayawada Region,Gudivada Division,Amudalapalli B.O,521324,BO,Delivery,KRISHNA,ANDHRA PRADESH,16.3700000,81.2400000
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Mutcherla B.O,521366,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
Andhra Pradesh Circle,Vijayawada Region,Machilipatnam Division,Nandigama B.O,521366,BO,Delivery,KRISHNA,ANDHRA PRADESH,NA,NA
